source,target,partial_correlation,edge_type,group
autonomy,autonomy_need_satisfaction,0.025279126270842053,concept_to_mechanism,All
autonomy,autonomy_need_frustration,-0.01394602693302142,concept_to_mechanism,All
autonomy,competence_need_satisfaction,0.07401933469757002,concept_to_mechanism,All
autonomy,competence_need_frustration,-0.05103872695249781,concept_to_mechanism,All
autonomy,relatedness_need_satisfaction,0.005903940612306992,concept_to_mechanism,All
autonomy,relatedness_need_frustration,-0.01948650089424636,concept_to_mechanism,All
autonomy,cognitive_discomfort,-0.029858478918477815,concept_to_mechanism,All
autonomy,moral_disengagement,-0.00648026927907514,concept_to_mechanism,All
autonomy,perceived_descriptive_norms,0.03485322938883681,concept_to_mechanism,All
autonomy,perceived_injunctive_norms,0.06273610060353176,concept_to_mechanism,All
autonomy,perceived_group_identification,0.017805657953662506,concept_to_mechanism,All
autonomy,perceived_social_sanctions,0.002870747850830476,concept_to_mechanism,All
autonomy,perceived_performance_accomplishments,0.09256744108873384,concept_to_mechanism,All
autonomy,perceived_vicarious_experience,0.056682281671645775,concept_to_mechanism,All
autonomy,perceived_verbal_persuasion,0.07172321410913184,concept_to_mechanism,All
autonomy,perceived_emotional_arousal,0.062027809722885505,concept_to_mechanism,All
autonomy,perceived_honesty,0.08339703616739161,concept_to_mechanism,All
autonomy,perceived_performance_effect,0.05487469621308179,concept_to_mechanism,All
autonomy,perceived_experience_effect,0.010870836437870757,concept_to_mechanism,All
autonomy,perceived_ability,0.04179365567496206,concept_to_mechanism,All
competence,autonomy_need_satisfaction,-0.006876005690251789,concept_to_mechanism,All
competence,autonomy_need_frustration,-0.014435755231455507,concept_to_mechanism,All
competence,competence_need_satisfaction,0.058789146950304426,concept_to_mechanism,All
competence,competence_need_frustration,-0.09064986075702809,concept_to_mechanism,All
competence,relatedness_need_satisfaction,0.023691137339163535,concept_to_mechanism,All
competence,relatedness_need_frustration,-0.021523619864289495,concept_to_mechanism,All
competence,cognitive_discomfort,-0.03500827396639742,concept_to_mechanism,All
competence,moral_disengagement,-0.0022223000439338864,concept_to_mechanism,All
competence,perceived_descriptive_norms,0.048176367008187844,concept_to_mechanism,All
competence,perceived_injunctive_norms,0.06646602737023742,concept_to_mechanism,All
competence,perceived_group_identification,0.030928350808084065,concept_to_mechanism,All
competence,perceived_social_sanctions,-0.007702364511201162,concept_to_mechanism,All
competence,perceived_performance_accomplishments,0.0881712460705628,concept_to_mechanism,All
competence,perceived_vicarious_experience,0.056665255414273925,concept_to_mechanism,All
competence,perceived_verbal_persuasion,0.08246272022608916,concept_to_mechanism,All
competence,perceived_emotional_arousal,0.10803129126687629,concept_to_mechanism,All
competence,perceived_honesty,0.07915619956300045,concept_to_mechanism,All
competence,perceived_performance_effect,0.05466046721299028,concept_to_mechanism,All
competence,perceived_experience_effect,0.057583647441603304,concept_to_mechanism,All
competence,perceived_ability,0.027407353993270298,concept_to_mechanism,All
relatedness,autonomy_need_satisfaction,0.017069930099965165,concept_to_mechanism,All
relatedness,autonomy_need_frustration,-0.0037257458556891904,concept_to_mechanism,All
relatedness,competence_need_satisfaction,0.04565049282579048,concept_to_mechanism,All
relatedness,competence_need_frustration,-0.01694631648402342,concept_to_mechanism,All
relatedness,relatedness_need_satisfaction,0.019925974521879254,concept_to_mechanism,All
relatedness,relatedness_need_frustration,-0.009765381063510126,concept_to_mechanism,All
relatedness,cognitive_discomfort,-0.029591948872766914,concept_to_mechanism,All
relatedness,moral_disengagement,0.00966712737271047,concept_to_mechanism,All
relatedness,perceived_descriptive_norms,0.044859401130531884,concept_to_mechanism,All
relatedness,perceived_injunctive_norms,0.03671163713804851,concept_to_mechanism,All
relatedness,perceived_group_identification,0.014503228558487416,concept_to_mechanism,All
relatedness,perceived_social_sanctions,0.015367399528176874,concept_to_mechanism,All
relatedness,perceived_performance_accomplishments,0.07345901320455835,concept_to_mechanism,All
relatedness,perceived_vicarious_experience,0.021575701069358993,concept_to_mechanism,All
relatedness,perceived_verbal_persuasion,0.03896575150806397,concept_to_mechanism,All
relatedness,perceived_emotional_arousal,0.06285642465328801,concept_to_mechanism,All
relatedness,perceived_honesty,0.03920303497098585,concept_to_mechanism,All
relatedness,perceived_performance_effect,0.010266559518979354,concept_to_mechanism,All
relatedness,perceived_experience_effect,0.011941465206616852,concept_to_mechanism,All
relatedness,perceived_ability,0.03508398804509751,concept_to_mechanism,All
self_concept,autonomy_need_satisfaction,0.033328049973065474,concept_to_mechanism,All
self_concept,autonomy_need_frustration,-0.03227678841546513,concept_to_mechanism,All
self_concept,competence_need_satisfaction,0.03469704547289052,concept_to_mechanism,All
self_concept,competence_need_frustration,-0.06814112206918135,concept_to_mechanism,All
self_concept,relatedness_need_satisfaction,-0.029410648338944,concept_to_mechanism,All
self_concept,relatedness_need_frustration,0.006663554257810711,concept_to_mechanism,All
self_concept,cognitive_discomfort,-0.05461283467508705,concept_to_mechanism,All
self_concept,moral_disengagement,0.0018356424566059182,concept_to_mechanism,All
self_concept,perceived_descriptive_norms,0.031945614255756496,concept_to_mechanism,All
self_concept,perceived_injunctive_norms,0.029687944291785937,concept_to_mechanism,All
self_concept,perceived_group_identification,-0.011225290599636277,concept_to_mechanism,All
self_concept,perceived_social_sanctions,-0.0036818764096489486,concept_to_mechanism,All
self_concept,perceived_performance_accomplishments,0.06310771880466634,concept_to_mechanism,All
self_concept,perceived_vicarious_experience,0.020055443368929574,concept_to_mechanism,All
self_concept,perceived_verbal_persuasion,0.06041112192799108,concept_to_mechanism,All
self_concept,perceived_emotional_arousal,0.0916670843799386,concept_to_mechanism,All
self_concept,perceived_honesty,0.04238524252009211,concept_to_mechanism,All
self_concept,perceived_performance_effect,0.019812548531148135,concept_to_mechanism,All
self_concept,perceived_experience_effect,-0.029747649343006312,concept_to_mechanism,All
self_concept,perceived_ability,-0.002335959591211066,concept_to_mechanism,All
cognitive_inconsistency,autonomy_need_satisfaction,0.03986079218839404,concept_to_mechanism,All
cognitive_inconsistency,autonomy_need_frustration,-0.01699415398275517,concept_to_mechanism,All
